Customer Code,Customer Name,KIT ITEM,OEM,Item Description,Product type,Item Code,Date,No. of kits
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,04-01-2021 00:00,80
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,05-01-2021 00:00,50
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,06-01-2021 00:00,231.5134035
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,07-01-2021 00:00,40
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,08-01-2021 00:00,40
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,09-01-2021 00:00,50
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,10-01-2021 00:00,35
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,11-01-2021 00:00,60
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,12-01-2021 00:00,60
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,01-01-2022 00:00,60
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,02-01-2022 00:00,60
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,03-01-2022 00:00,25
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,04-01-2022 00:00,40
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,05-01-2022 00:00,35
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,06-01-2022 00:00,40
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,07-01-2022 00:00,35
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,08-01-2022 00:00,231.5134035
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,09-01-2022 00:00,130
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,10-01-2022 00:00,231.5134035
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,11-01-2022 00:00,120
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,12-01-2022 00:00,35
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,01-01-2023 00:00,45
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,02-01-2023 00:00,40
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,03-01-2023 00:00,30
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,04-01-2023 00:00,50
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,05-01-2023 00:00,50
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,06-01-2023 00:00,70
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,07-01-2023 00:00,30
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,08-01-2023 00:00,80
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,09-01-2023 00:00,75
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,10-01-2023 00:00,70
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,11-01-2023 00:00,40
10003033,Customer_1,KIT0000896,manufacturer_1,Standard FLC (AMC),Housings,A020000001,12-01-2023 00:00,65
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,04-01-2021 00:00,231.5134035
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,05-01-2021 00:00,50
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,06-01-2021 00:00,231.5134035
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,07-01-2021 00:00,40
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,08-01-2021 00:00,60
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,09-01-2021 00:00,40
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,10-01-2021 00:00,45
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,11-01-2021 00:00,50
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,12-01-2021 00:00,45
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,01-01-2022 00:00,45
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,02-01-2022 00:00,35
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,03-01-2022 00:00,25
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,04-01-2022 00:00,40
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,05-01-2022 00:00,25
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,06-01-2022 00:00,40
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,07-01-2022 00:00,47
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,08-01-2022 00:00,231.5134035
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,09-01-2022 00:00,70
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,10-01-2022 00:00,231.5134035
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,11-01-2022 00:00,150
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,12-01-2022 00:00,55
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,01-01-2023 00:00,70
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,02-01-2023 00:00,70
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,03-01-2023 00:00,30
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,04-01-2023 00:00,70
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,05-01-2023 00:00,60
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,06-01-2023 00:00,231.5134035
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,07-01-2023 00:00,40
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,08-01-2023 00:00,40
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,09-01-2023 00:00,75
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,10-01-2023 00:00,65
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,11-01-2023 00:00,40
10003033,Customer_1,KIT0000897,manufacturer_1,Standard FSC (AMC),Housings,A020000001,12-01-2023 00:00,65
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,04-01-2021 00:00,231.5134035
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,05-01-2021 00:00,231.5134035
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,06-01-2021 00:00,231.5134035
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,07-01-2021 00:00,231.5134035
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,08-01-2021 00:00,231.5134035
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,09-01-2021 00:00,231.5134035
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,10-01-2021 00:00,231.5134035
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,11-01-2021 00:00,9
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,12-01-2021 00:00,5
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,01-01-2022 00:00,231.5134035
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,02-01-2022 00:00,18
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,03-01-2022 00:00,20
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,04-01-2022 00:00,10
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,05-01-2022 00:00,11
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,06-01-2022 00:00,231.5134035
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,07-01-2022 00:00,21
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,08-01-2022 00:00,231.5134035
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,09-01-2022 00:00,6
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,10-01-2022 00:00,6
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,11-01-2022 00:00,10
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,12-01-2022 00:00,22
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,01-01-2023 00:00,15
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,02-01-2023 00:00,12
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,03-01-2023 00:00,37
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,04-01-2023 00:00,5
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,05-01-2023 00:00,3
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,06-01-2023 00:00,231.5134035
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,07-01-2023 00:00,8
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,08-01-2023 00:00,3
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,09-01-2023 00:00,12
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,10-01-2023 00:00,4
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,11-01-2023 00:00,11
10002815,Customer_2,KIT0000613,manufacturer_2,"F2417411,F2417511,F2417611,F2417611",Engine Parts,A020000001,12-01-2023 00:00,6
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,04-01-2021 00:00,50
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,05-01-2021 00:00,231.5134035
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,06-01-2021 00:00,231.5134035
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,07-01-2021 00:00,231.5134035
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,08-01-2021 00:00,231.5134035
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,09-01-2021 00:00,231.5134035
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,10-01-2021 00:00,231.5134035
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,11-01-2021 00:00,22
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,12-01-2021 00:00,12
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,01-01-2022 00:00,30
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,02-01-2022 00:00,231.5134035
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,03-01-2022 00:00,35
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,04-01-2022 00:00,18
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,05-01-2022 00:00,23
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,06-01-2022 00:00,31
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,07-01-2022 00:00,231.5134035
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,08-01-2022 00:00,231.5134035
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,09-01-2022 00:00,8
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,10-01-2022 00:00,29
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,11-01-2022 00:00,25
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,12-01-2022 00:00,31
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,01-01-2023 00:00,14
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,02-01-2023 00:00,25
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,03-01-2023 00:00,22
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,04-01-2023 00:00,17
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,05-01-2023 00:00,231.5134035
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,06-01-2023 00:00,231.5134035
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,07-01-2023 00:00,231.5134035
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,08-01-2023 00:00,14
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,09-01-2023 00:00,31
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,10-01-2023 00:00,7
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,11-01-2023 00:00,7
10002815,Customer_2,KIT0000634,manufacturer_2,"SF1655611,16106411T2,F1609511 & 1609511T2",Transmission,A020000001,12-01-2023 00:00,4
